MNS.PNA036_1.NA.ObjNum,1,UInt4,9
MNS.PNA036_1.NA.ObjNum,101,String,"1"
MNS.PNA036_1.NA.ObjNum,3,UInt4,192
MNS.PNA036_1.NA.Narab.Pusk,1,UInt4,7
MNS.PNA036_1.NA.Narab.Pusk,101,String,"ПНА №036.1. Время работы с момента запуска"
MNS.PNA036_1.NA.Narab.Pusk,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7200) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.NA.Narab.Pusk,1,UInt4,7
WR_MNS.PNA036_1.NA.Narab.Pusk,101,String,"ПНА №036.1. Время работы с момента запуска"
WR_MNS.PNA036_1.NA.Narab.Pusk,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7200) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TR2) Signed=(True) Category=()}"
MNS.PNA036_1.NA.Narab.PredPusk,1,UInt4,7
MNS.PNA036_1.NA.Narab.PredPusk,101,String,"ПНА №036.1. Время работы в предыдущем запуске"
MNS.PNA036_1.NA.Narab.PredPusk,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7202) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.NA.Narab.PredPusk,1,UInt4,7
WR_MNS.PNA036_1.NA.Narab.PredPusk,101,String,"ПНА №036.1. Время работы в предыдущем запуске"
WR_MNS.PNA036_1.NA.Narab.PredPusk,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7202) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TR2) Signed=(True) Category=()}"
MNS.PNA036_1.NA.Narab.BeforeRes,1,UInt4,7
MNS.PNA036_1.NA.Narab.BeforeRes,101,String,"ПНА №036.1. Время до перехода на резерв"
MNS.PNA036_1.NA.Narab.BeforeRes,5000,String,"{ ModuleId=(MBTCP) Protocol=(ModbusTCP) Station=(1) Address=(7204) Table=(Holding Registers) Type=(Protocol) ProtocolType=(TM2) Signed=(True) Category=()}"
WR_MNS.PNA036_1.NA.Narab.BeforeRes,1,UInt4,7
WR_MNS.PNA036_1.NA.Narab.BeforeRes,101,String,"ПНА №036.1. Время до перехода на резерв"
